"year","county","municip_number","municip_name","total_mcp_area","sea_mcp_area","prod_area_id","prod_area_name","feed_consumption_kg"
2017,"ROGALAND OG AGDER","1146","Tysvær",635.7009671,210.2175249,2,"Ryfylke",10440818
2017,"ROGALAND OG AGDER","1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra",3315919
2017,"ROGALAND OG AGDER","1160","Vindafjord",765.0393543,144.4528759,3,"Karmøy - Sotra",11112940
2017,"HORDALAND","1211","Etne",813.6223475,78.34093032,3,"Karmøy - Sotra",4069396
2017,"HORDALAND","1216","Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra",13158368
2017,"HORDALAND","1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra",26422084
2017,"HORDALAND","1221","Stord",225.8352936,82.10288014,3,"Karmøy - Sotra",1977757
2017,"HORDALAND","1222","Fitjar",240.604969,98.14389542,3,"Karmøy - Sotra",10938839
2017,"HORDALAND","1223","Tysnes",482.4829466,227.3679339,3,"Karmøy - Sotra",23551798
2017,"HORDALAND","1224","Kvinnherad",1505.831668,415.085879,3,"Karmøy - Sotra",39934399
2017,"HORDALAND","1227","Jondal",330.9853245,83.91339296,3,"Karmøy - Sotra",9215321
2017,"HORDALAND","1238","Kvam",762.0051348,145.0727491,3,"Karmøy - Sotra",11269547
2017,"HORDALAND","1241","Fusa",507.0776654,129.2463033,3,"Karmøy - Sotra",15941972
2017,"HORDALAND","1242","Samnanger",290.0844722,21.0179771,3,"Karmøy - Sotra",1002583
2017,"HORDALAND","1243","Os",245.5334546,105.9583688,3,"Karmøy - Sotra",11889705
2017,"HORDALAND","1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra",31237063
2017,"HORDALAND","1245","Sund",564.9350737,465.3951173,3,"Karmøy - Sotra",15436457
2017,"HORDALAND","1246","Fjell",768.9276823,620.7603078,3,"Karmøy - Sotra",9425511
2017,"HORDALAND","1247","Askøy",219.6391485,118.5156823,4,"Sotra - Stadt",4066234
2017,"HORDALAND","1251","Vaksdal",756.7912355,41.41567702,4,"Sotra - Stadt",858066
2017,"HORDALAND","1253","Osterøy",311.6455974,56.5278112,4,"Sotra - Stadt",7528946
2017,"HORDALAND","1256","Meland",130.5215556,37.93871393,4,"Sotra - Stadt",1576585
2017,"HORDALAND","1259","Øygarden",985.9432893,919.148288,4,"Sotra - Stadt",20042538
2017,"HORDALAND","1260","Radøy",209.7977221,98.34900146,4,"Sotra - Stadt",14399998
2017,"HORDALAND","1263","Lindås",637.0389369,162.042687,4,"Sotra - Stadt",7791277
2017,"HORDALAND","1264","Austrheim",161.9491533,104.393437,4,"Sotra - Stadt",4459570
2017,"HORDALAND","1265","Fedje",465.8888989,456.6162525,4,"Sotra - Stadt",2025132
2017,"HORDALAND","1266","Masfjorden",641.7115291,85.64212657,4,"Sotra - Stadt",7465160
2017,"SOGN OG FJORDANE","1401","Flora",2140.216593,1447.185281,4,"Sotra - Stadt",20332383
2017,"SOGN OG FJORDANE","1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt",21636695
2017,"SOGN OG FJORDANE","1412","Solund",1747.705205,1519.458615,4,"Sotra - Stadt",13704766
2017,"SOGN OG FJORDANE","1413","Hyllestad",384.2061598,125.3011533,4,"Sotra - Stadt",10359245
2017,"SOGN OG FJORDANE","1416","Høyanger",1117.215544,209.0251517,4,"Sotra - Stadt",12432456
2017,"SOGN OG FJORDANE","1428","Askvoll",1588.603941,1262.43025,4,"Sotra - Stadt",8067026
2017,"SOGN OG FJORDANE","1429","Fjaler",488.1563815,71.53865419,4,"Sotra - Stadt",8089204
2017,"SOGN OG FJORDANE","1438","Bremanger",1931.69721,1098.600948,4,"Sotra - Stadt",21534072
2017,"SOGN OG FJORDANE","1439","Vågsøy",820.8877962,644.1892052,4,"Sotra - Stadt",8412973
2017,"SOGN OG FJORDANE","1441","Selje",1041.307731,815.1905357,4,"Sotra - Stadt",12137345
2017,"SOGN OG FJORDANE","1445","Gloppen",1095.283335,64.71387848,4,"Sotra - Stadt",3411637
2017,"MØRE OG ROMSDAL","1502","Molde",585.0810002,222.447664,5,"Stad - Hustadvika",586161
2017,"MØRE OG ROMSDAL","1505","Kristiansund",669.4597917,582.0243919,6,"Nordmøre - Sør-Trøndelag",17216930
2017,"MØRE OG ROMSDAL","1511","Vanylven",483.5926223,98.374729,5,"Stad - Hustadvika",6528025
2017,"MØRE OG ROMSDAL","1515","Herøy",1193.288082,1073.763572,5,"Stad - Hustadvika",4339408
2017,"MØRE OG ROMSDAL","1516","Ulstein",256.6193604,159.4185075,5,"Stad - Hustadvika",42397
2017,"MØRE OG ROMSDAL","1519","Volda",656.4932671,109.2593826,5,"Stad - Hustadvika",9952054
2017,"MØRE OG ROMSDAL","1520","Ørsta",943.5737474,139.138279,5,"Stad - Hustadvika",6993052
2017,"MØRE OG ROMSDAL","1524","Norddal",986.6701771,43.15651477,5,"Stad - Hustadvika",3711000
2017,"MØRE OG ROMSDAL","1525","Stranda",944.3724368,78.50341444,5,"Stad - Hustadvika",10443555
2017,"MØRE OG ROMSDAL","1526","Stordal",273.5511891,26.48209841,5,"Stad - Hustadvika",113643
2017,"MØRE OG ROMSDAL","1529","Skodje",156.8868977,36.85781839,5,"Stad - Hustadvika",70412
2017,"MØRE OG ROMSDAL","1532","Giske",907.7717564,867.2287433,5,"Stad - Hustadvika",3027543
2017,"MØRE OG ROMSDAL","1534","Haram",1063.325832,802.1936015,5,"Stad - Hustadvika",4914459
2017,"MØRE OG ROMSDAL","1535","Vestnes",466.4075422,114.7066027,5,"Stad - Hustadvika",7484996
2017,"MØRE OG ROMSDAL","1539","Rauma",1635.105545,132.9582198,5,"Stad - Hustadvika",1399209
2017,"MØRE OG ROMSDAL","1543","Nesset",1131.560319,85.48888667,5,"Stad - Hustadvika",697532
2017,"MØRE OG ROMSDAL","1545","Midsund",275.1037587,180.4542533,5,"Stad - Hustadvika",8060062
2017,"MØRE OG ROMSDAL","1546","Sandøy",1007.145171,985.7137032,5,"Stad - Hustadvika",5394839
2017,"MØRE OG ROMSDAL","1547","Aukra",461.7591187,402.6819283,5,"Stad - Hustadvika",7726763
2017,"MØRE OG ROMSDAL","1551","Eide",445.1395783,293.0397792,6,"Nordmøre - Sør-Trøndelag",2153329
2017,"MØRE OG ROMSDAL","1554","Averøy",718.5878787,542.9088935,6,"Nordmøre - Sør-Trøndelag",13259105
2017,"MØRE OG ROMSDAL","1557","Gjemnes",470.6056636,88.97445949,6,"Nordmøre - Sør-Trøndelag",9890131
2017,"MØRE OG ROMSDAL","1560","Tingvoll",504.8050354,167.995332,6,"Nordmøre - Sør-Trøndelag",1170869
2017,"MØRE OG ROMSDAL","1563","Sunndal",1799.591061,86.22058664,6,"Nordmøre - Sør-Trøndelag",53224
2017,"MØRE OG ROMSDAL","1566","Surnadal",1453.246482,87.19487793,6,"Nordmøre - Sør-Trøndelag",116917
2017,"MØRE OG ROMSDAL","1571","Halsa",383.3083884,82.7797689,6,"Nordmøre - Sør-Trøndelag",19908093
2017,"MØRE OG ROMSDAL","1573","Smøla",2154.4903,1882.580854,6,"Nordmøre - Sør-Trøndelag",43936958
2017,"MØRE OG ROMSDAL","1576","Aure",1048.31036,406.9303226,6,"Nordmøre - Sør-Trøndelag",12612508
2017,"NORDLAND","1804","Bodø",4826.69546,3431.421782,9,"Vestfjorden - Vesterålen",12422830
2017,"NORDLAND","1811","Bindal",1905.535218,641.2837483,7,"Nord-Trøndelag - Bindal",23111608
2017,"NORDLAND","1812","Sømna",790.0974216,594.8391077,8,"Helgeland - Bodø",7178839
2017,"NORDLAND","1813","Brønnøy",2099.156683,1052.809515,8,"Helgeland - Bodø",16163578
2017,"NORDLAND","1815","Vega",2921.376588,2756.590844,8,"Helgeland - Bodø",6588360
2017,"NORDLAND","1816","Vevelstad",661.1474773,122.0988447,8,"Helgeland - Bodø",4892360
2017,"NORDLAND","1818","Herøy",2262.099657,2197.637411,8,"Helgeland - Bodø",17274761
2017,"NORDLAND","1820","Alstahaug",585.2205361,397.1046147,8,"Helgeland - Bodø",4140936
2017,"NORDLAND","1822","Leirfjord",596.1696545,130.9239221,8,"Helgeland - Bodø",1412521
2017,"NORDLAND","1824","Vefsn",2030.300385,100.8914234,8,"Helgeland - Bodø",2790407
2017,"NORDLAND","1827","Dønna",759.3091081,567.3688444,8,"Helgeland - Bodø",18865293
2017,"NORDLAND","1828","Nesna",402.8211117,219.6396197,8,"Helgeland - Bodø",1939509
2017,"NORDLAND","1833","Rana",4588.20917,128.0210568,8,"Helgeland - Bodø",8142254
2017,"NORDLAND","1834","Lurøy",1337.693384,1072.508261,8,"Helgeland - Bodø",21795762
2017,"NORDLAND","1835","Træna",1793.812792,1777.298315,8,"Helgeland - Bodø",2665350
2017,"NORDLAND","1836","Rødøy",3103.057128,2391.768309,8,"Helgeland - Bodø",14753962
2017,"NORDLAND","1837","Meløy",2746.283777,1872.455608,8,"Helgeland - Bodø",13872132
2017,"NORDLAND","1838","Gildeskål",1502.253204,837.5510572,8,"Helgeland - Bodø",14951683
2017,"NORDLAND","1840","Saltdal",2245.948768,29.75933009,8,"Helgeland - Bodø",3483817
2017,"NORDLAND","1841","c(\Fauske\, \Fuossko\)",1293.965081,96.99544864,8,"Helgeland - Bodø",1358329
2017,"NORDLAND","1845","Sørfold",1829.725893,192.322705,9,"Vestfjorden - Vesterålen",13756374
2017,"NORDLAND","1848","Steigen",3484.477675,2475.231549,9,"Vestfjorden - Vesterålen",25926989
2017,"NORDLAND","1849","c(\Hamarøy\, \Hábmer\)",1562.514447,528.9225273,9,"Vestfjorden - Vesterålen",2344360
2017,"NORDLAND","1850","c(\Tysfjord\, \Divtasvuodna\)",1929.019449,465.2612621,9,"Vestfjorden - Vesterålen",7476301
2017,"NORDLAND","1851","Lødingen",1043.931094,516.5166935,9,"Vestfjorden - Vesterålen",8807377
2017,"NORDLAND","1852","Tjeldsund",444.826713,125.4910974,9,"Vestfjorden - Vesterålen",3457390
2017,"NORDLAND","1854","Ballangen",1193.130637,260.9146791,9,"Vestfjorden - Vesterålen",8033530
2017,"NORDLAND","1859","Flakstad",1172.39812,994.0116752,9,"Vestfjorden - Vesterålen",2450400
2017,"NORDLAND","1860","Vestvågøy",2109.641746,1685.080756,9,"Vestfjorden - Vesterålen",3962979
2017,"NORDLAND","1865","Vågan",2087.475486,1608.301755,9,"Vestfjorden - Vesterålen",7286959
2017,"NORDLAND","1866","Hadsel",1184.413105,617.8636024,9,"Vestfjorden - Vesterålen",15873418
2017,"NORDLAND","1867","Bø",1825.744963,1579.045433,9,"Vestfjorden - Vesterålen",8576086
2017,"NORDLAND","1868","Øksnes",1815.174302,1495.658041,9,"Vestfjorden - Vesterålen",10773069
2017,"NORDLAND","1870","c(\Sortland\, \Suortá\)",1093.027537,371.1023103,9,"Vestfjorden - Vesterålen",9393793
2017,"TROMS","1902","Tromsø",5287.925885,2766.720443,11,"Kvaløya - Loppa",23601157
2017,"TROMS","1903","c(\Harstad\, \Hárstták\)",1520.380415,1075.169085,10,"Andfjorden - Senja",33367978
2017,"TROMS","1911","Kvæfjord",701.6211827,189.007727,10,"Andfjorden - Senja",4916397
2017,"TROMS","1913","Skånland",580.7459162,85.75053965,10,"Andfjorden - Senja",14847599
2017,"TROMS","1917","Ibestad",592.7193788,351.6502163,10,"Andfjorden - Senja",14638857
2017,"TROMS","1919","Gratangen",374.6671877,61.92678047,10,"Andfjorden - Senja",2971552
2017,"TROMS","1920","c(\Lavangen\, \Loabák\)",324.5644227,22.93030318,10,"Andfjorden - Senja",5708190
2017,"TROMS","1923","Salangen",521.5611242,63.59936295,10,"Andfjorden - Senja",1902293
2017,"TROMS","1926","Dyrøy",469.7496123,181.2083648,10,"Andfjorden - Senja",7667634
2017,"TROMS","1927","Tranøy",938.4325924,414.5371515,10,"Andfjorden - Senja",6120651
2017,"TROMS","1928","Torsken",1076.107235,832.6831727,10,"Andfjorden - Senja",14101113
2017,"TROMS","1929","Berg",1130.553961,836.6595009,10,"Andfjorden - Senja",17225644
2017,"TROMS","1931","Lenvik",1586.547758,693.9699618,10,"Andfjorden - Senja",15067438
2017,"TROMS","1936","Karlsøy",5888.348538,4796.755739,11,"Kvaløya - Loppa",24352915
2017,"TROMS","1938","Lyngen",1299.636265,487.0741668,11,"Kvaløya - Loppa",6083472
2017,"TROMS","1940","c(\Gáivuotna\, \Kaivuono\, \Kåfjord\)",1115.396129,124.1574503,11,"Kvaløya - Loppa",2493816
2017,"TROMS","1941","Skjervøy",1561.699755,1087.998326,11,"Kvaløya - Loppa",16716240
2017,"TROMS","1942","c(\Nordreisa\, \Raisi\, \Ráisa\)",3681.281994,243.7160763,11,"Kvaløya - Loppa",3530498
2017,"TROMS","1943","Kvænangen",2682.367817,573.0012304,11,"Kvaløya - Loppa",13212692
2017,"FINNMARK","2004","Hammerfest",3227.790475,2379.511674,12,"Vest-Finnmark",18244622
2017,"FINNMARK","2012","Alta",4557.653447,708.1851191,12,"Vest-Finnmark",27582042
2017,"FINNMARK","2014","Loppa",2808.583223,2119.706465,12,"Vest-Finnmark",21988345
2017,"FINNMARK","2015","Hasvik",2767.912332,2212.346937,12,"Vest-Finnmark",3630918
2017,"FINNMARK","2017","Kvalsund",2143.724658,299.4380092,12,"Vest-Finnmark",11477559
2017,"FINNMARK","2018","Måsøy",3882.603372,2746.77331,12,"Vest-Finnmark",12781933
2017,"FINNMARK","2019","Nordkapp",4098.466639,3172.775971,12,"Vest-Finnmark",10304201
2017,"FINNMARK","2022","Lebesby",5729.229931,2269.813387,12,"Vest-Finnmark",10166457
2017,"FINNMARK","2027","c(\Nesseby\, \Unjárga\)",1637.385897,200.4975472,13,"Øst-Finnmark",10412762
2017,"FINNMARK","2028","Båtsfjord",2814.18098,1379.457856,13,"Øst-Finnmark",4087230
2017,"FINNMARK","2030","Sør-Varanger",5106.983189,1135.686092,13,"Øst-Finnmark",25574
2017,"UOPPGITT","0215","Frogn",115.37293,29.67292071,1,"Svenskegrensen - Jæren",257
2017,"ROGALAND OG AGDER","0926","Lillesand",850.7528011,660.3214617,1,"Svenskegrensen - Jæren",1015925
2018,"ROGALAND OG AGDER","1003","Farsund",1252.735155,990.1709147,1,"Svenskegrensen - Jæren",1955250
2018,"ROGALAND OG AGDER","1004","Flekkefjord",859.7897118,315.7247669,1,"Svenskegrensen - Jæren",21105677
2018,"ROGALAND OG AGDER","1032","Lyngdal",626.6176617,235.270811,1,"Svenskegrensen - Jæren",377250
2018,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",7124560
2018,"ROGALAND OG AGDER","1106","Haugesund",365.6018361,292.9220733,3,"Karmøy - Sotra",5592566
2018,"ROGALAND OG AGDER","1122","Gjesdal",626.4959988,8.515393126,2,"Ryfylke",1027548
2018,"ROGALAND OG AGDER","1129","Forsand",846.3640797,66.30523597,2,"Ryfylke",185547
2018,"ROGALAND OG AGDER","1130","Strand",332.6055776,114.4613977,2,"Ryfylke",5781343
2018,"ROGALAND OG AGDER","1133","Hjelmeland",1195.202576,106.3627705,2,"Ryfylke",987666
2018,"ROGALAND OG AGDER","1134","Suldal",1909.018247,172.3661785,2,"Ryfylke",6254047
2018,"ROGALAND OG AGDER","1141","Finnøy",388.3073287,283.9151293,2,"Ryfylke",30524102
2018,"ROGALAND OG AGDER","1142","Rennesøy",215.3021677,149.7881054,2,"Ryfylke",9677178
2018,"ROGALAND OG AGDER","1144","Kvitsøy",362.4412368,356.1550285,2,"Ryfylke",4069250
2018,"ROGALAND OG AGDER","1145","Bokn",188.6204715,141.4520961,2,"Ryfylke",6001232
2018,"ROGALAND OG AGDER","1146","Tysvær",635.7009671,210.2175249,2,"Ryfylke",12425794
2018,"ROGALAND OG AGDER","1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra",5375123
2018,"ROGALAND OG AGDER","1160","Vindafjord",765.0393543,144.4528759,3,"Karmøy - Sotra",5647964
2018,"HORDALAND","1211","Etne",813.6223475,78.34093032,3,"Karmøy - Sotra",5480281
2018,"HORDALAND","1216","Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra",9153658
2018,"HORDALAND","1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra",19529533
2018,"HORDALAND","1221","Stord",225.8352936,82.10288014,3,"Karmøy - Sotra",2519475
2018,"HORDALAND","1222","Fitjar",240.604969,98.14389542,3,"Karmøy - Sotra",11710412
2018,"HORDALAND","1223","Tysnes",482.4829466,227.3679339,3,"Karmøy - Sotra",31070668
2018,"HORDALAND","1224","Kvinnherad",1505.831668,415.085879,3,"Karmøy - Sotra",40983539
2018,"HORDALAND","1227","Jondal",330.9853245,83.91339296,3,"Karmøy - Sotra",14836611
2018,"HORDALAND","1238","Kvam",762.0051348,145.0727491,3,"Karmøy - Sotra",15478190
2018,"HORDALAND","1241","Fusa",507.0776654,129.2463033,3,"Karmøy - Sotra",12352152
2018,"HORDALAND","1242","Samnanger",290.0844722,21.0179771,3,"Karmøy - Sotra",3260510
2018,"HORDALAND","1243","Os",245.5334546,105.9583688,3,"Karmøy - Sotra",6722011
2018,"HORDALAND","1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra",26883720
2018,"HORDALAND","1245","Sund",564.9350737,465.3951173,3,"Karmøy - Sotra",6761555
2018,"HORDALAND","1246","Fjell",768.9276823,620.7603078,3,"Karmøy - Sotra",7924219
2018,"HORDALAND","1247","Askøy",219.6391485,118.5156823,4,"Sotra - Stadt",5182718
2018,"HORDALAND","1251","Vaksdal",756.7912355,41.41567702,4,"Sotra - Stadt",977377
2018,"HORDALAND","1253","Osterøy",311.6455974,56.5278112,4,"Sotra - Stadt",23369168
2018,"HORDALAND","1256","Meland",130.5215556,37.93871393,4,"Sotra - Stadt",2350328
2018,"HORDALAND","1259","Øygarden",985.9432893,919.148288,4,"Sotra - Stadt",13540759
2018,"HORDALAND","1260","Radøy",209.7977221,98.34900146,4,"Sotra - Stadt",5628529
2018,"HORDALAND","1263","Lindås",637.0389369,162.042687,4,"Sotra - Stadt",9942112
2018,"HORDALAND","1264","Austrheim",161.9491533,104.393437,4,"Sotra - Stadt",1224975
2018,"HORDALAND","1265","Fedje",465.8888989,456.6162525,4,"Sotra - Stadt",613711
2018,"HORDALAND","1266","Masfjorden",641.7115291,85.64212657,4,"Sotra - Stadt",6656421
2018,"SOGN OG FJORDANE","1401","Flora",2140.216593,1447.185281,4,"Sotra - Stadt",16951611
2018,"SOGN OG FJORDANE","1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt",31127716
2018,"SOGN OG FJORDANE","1412","Solund",1747.705205,1519.458615,4,"Sotra - Stadt",9204609
2018,"SOGN OG FJORDANE","1413","Hyllestad",384.2061598,125.3011533,4,"Sotra - Stadt",15394148
2018,"SOGN OG FJORDANE","1416","Høyanger",1117.215544,209.0251517,4,"Sotra - Stadt",13586750
2018,"SOGN OG FJORDANE","1428","Askvoll",1588.603941,1262.43025,4,"Sotra - Stadt",13115240
2018,"SOGN OG FJORDANE","1429","Fjaler",488.1563815,71.53865419,4,"Sotra - Stadt",5268554
2018,"SOGN OG FJORDANE","1438","Bremanger",1931.69721,1098.600948,4,"Sotra - Stadt",10142429
2018,"SOGN OG FJORDANE","1439","Vågsøy",820.8877962,644.1892052,4,"Sotra - Stadt",11060969
2018,"SOGN OG FJORDANE","1441","Selje",1041.307731,815.1905357,4,"Sotra - Stadt",4870533
2018,"SOGN OG FJORDANE","1445","Gloppen",1095.283335,64.71387848,4,"Sotra - Stadt",3097651
2018,"MØRE OG ROMSDAL","1502","Molde",585.0810002,222.447664,5,"Stad - Hustadvika",1441500
2018,"MØRE OG ROMSDAL","1505","Kristiansund",669.4597917,582.0243919,6,"Nordmøre - Sør-Trøndelag",6432564
2018,"MØRE OG ROMSDAL","1511","Vanylven",483.5926223,98.374729,5,"Stad - Hustadvika",7818476
2018,"MØRE OG ROMSDAL","1515","Herøy",1193.288082,1073.763572,5,"Stad - Hustadvika",1289268
2018,"MØRE OG ROMSDAL","1516","Ulstein",256.6193604,159.4185075,5,"Stad - Hustadvika",2040982
2018,"MØRE OG ROMSDAL","1519","Volda",656.4932671,109.2593826,5,"Stad - Hustadvika",5308288
2018,"MØRE OG ROMSDAL","1520","Ørsta",943.5737474,139.138279,5,"Stad - Hustadvika",5620229
2018,"MØRE OG ROMSDAL","1524","Norddal",986.6701771,43.15651477,5,"Stad - Hustadvika",3733000
2018,"MØRE OG ROMSDAL","1525","Stranda",944.3724368,78.50341444,5,"Stad - Hustadvika",6756500
2018,"MØRE OG ROMSDAL","1526","Stordal",273.5511891,26.48209841,5,"Stad - Hustadvika",3936163
2018,"MØRE OG ROMSDAL","1529","Skodje",156.8868977,36.85781839,5,"Stad - Hustadvika",540021
2018,"MØRE OG ROMSDAL","1532","Giske",907.7717564,867.2287433,5,"Stad - Hustadvika",11960439
2018,"MØRE OG ROMSDAL","1534","Haram",1063.325832,802.1936015,5,"Stad - Hustadvika",6028462
2018,"MØRE OG ROMSDAL","1535","Vestnes",466.4075422,114.7066027,5,"Stad - Hustadvika",5076903
2018,"MØRE OG ROMSDAL","1539","Rauma",1635.105545,132.9582198,5,"Stad - Hustadvika",2042455
2018,"MØRE OG ROMSDAL","1543","Nesset",1131.560319,85.48888667,5,"Stad - Hustadvika",2348327
2018,"MØRE OG ROMSDAL","1545","Midsund",275.1037587,180.4542533,5,"Stad - Hustadvika",10886000
2018,"MØRE OG ROMSDAL","1546","Sandøy",1007.145171,985.7137032,5,"Stad - Hustadvika",2007231
2018,"MØRE OG ROMSDAL","1547","Aukra",461.7591187,402.6819283,5,"Stad - Hustadvika",6011852
2018,"MØRE OG ROMSDAL","1548","Fræna",1123.537617,753.7385211,5,"Stad - Hustadvika",2912264
2018,"MØRE OG ROMSDAL","1551","Eide",445.1395783,293.0397792,6,"Nordmøre - Sør-Trøndelag",696117
2018,"MØRE OG ROMSDAL","1554","Averøy",718.5878787,542.9088935,6,"Nordmøre - Sør-Trøndelag",5878044
2018,"MØRE OG ROMSDAL","1557","Gjemnes",470.6056636,88.97445949,6,"Nordmøre - Sør-Trøndelag",1087188
2018,"MØRE OG ROMSDAL","1560","Tingvoll",504.8050354,167.995332,6,"Nordmøre - Sør-Trøndelag",2970413
2018,"MØRE OG ROMSDAL","1563","Sunndal",1799.591061,86.22058664,6,"Nordmøre - Sør-Trøndelag",67393
2018,"MØRE OG ROMSDAL","1566","Surnadal",1453.246482,87.19487793,6,"Nordmøre - Sør-Trøndelag",154250
2018,"MØRE OG ROMSDAL","1571","Halsa",383.3083884,82.7797689,6,"Nordmøre - Sør-Trøndelag",11902636
2018,"MØRE OG ROMSDAL","1573","Smøla",2154.4903,1882.580854,6,"Nordmøre - Sør-Trøndelag",28217092
2018,"MØRE OG ROMSDAL","1576","Aure",1048.31036,406.9303226,6,"Nordmøre - Sør-Trøndelag",10414179
2018,"NORDLAND","1804","Bodø",4826.69546,3431.421782,9,"Vestfjorden - Vesterålen",12865067
2018,"NORDLAND","1805","Narvik",2223.616141,200.5690576,9,"Vestfjorden - Vesterålen",1546760
2018,"NORDLAND","1811","Bindal",1905.535218,641.2837483,7,"Nord-Trøndelag - Bindal",7116448
2018,"NORDLAND","1812","Sømna",790.0974216,594.8391077,8,"Helgeland - Bodø",2487705
2018,"NORDLAND","1813","Brønnøy",2099.156683,1052.809515,8,"Helgeland - Bodø",16295020
2018,"NORDLAND","1815","Vega",2921.376588,2756.590844,8,"Helgeland - Bodø",7078508
2018,"NORDLAND","1816","Vevelstad",661.1474773,122.0988447,8,"Helgeland - Bodø",10007870
2018,"NORDLAND","1818","Herøy",2262.099657,2197.637411,8,"Helgeland - Bodø",21952216
2018,"NORDLAND","1820","Alstahaug",585.2205361,397.1046147,8,"Helgeland - Bodø",5564015
2018,"NORDLAND","1822","Leirfjord",596.1696545,130.9239221,8,"Helgeland - Bodø",1775468
2018,"NORDLAND","1824","Vefsn",2030.300385,100.8914234,8,"Helgeland - Bodø",1385867
2018,"NORDLAND","1827","Dønna",759.3091081,567.3688444,8,"Helgeland - Bodø",15103016
2018,"NORDLAND","1828","Nesna",402.8211117,219.6396197,8,"Helgeland - Bodø",2241404
2018,"NORDLAND","1833","Rana",4588.20917,128.0210568,8,"Helgeland - Bodø",4229532
2018,"NORDLAND","1834","Lurøy",1337.693384,1072.508261,8,"Helgeland - Bodø",15545440
2018,"NORDLAND","1835","Træna",1793.812792,1777.298315,8,"Helgeland - Bodø",2158241
2018,"NORDLAND","1836","Rødøy",3103.057128,2391.768309,8,"Helgeland - Bodø",40212338
2018,"NORDLAND","1837","Meløy",2746.283777,1872.455608,8,"Helgeland - Bodø",13621126
2018,"NORDLAND","1838","Gildeskål",1502.253204,837.5510572,8,"Helgeland - Bodø",13204540
2018,"NORDLAND","1840","Saltdal",2245.948768,29.75933009,8,"Helgeland - Bodø",4909397
2018,"NORDLAND","1841","c(\Fauske\, \Fuossko\)",1293.965081,96.99544864,8,"Helgeland - Bodø",2705949
2018,"NORDLAND","1845","Sørfold",1829.725893,192.322705,9,"Vestfjorden - Vesterålen",14541634
2018,"NORDLAND","1848","Steigen",3484.477675,2475.231549,9,"Vestfjorden - Vesterålen",18885039
2018,"NORDLAND","1849","c(\Hamarøy\, \Hábmer\)",1562.514447,528.9225273,9,"Vestfjorden - Vesterålen",5710298
2018,"NORDLAND","1850","c(\Tysfjord\, \Divtasvuodna\)",1929.019449,465.2612621,9,"Vestfjorden - Vesterålen",21543890
2018,"NORDLAND","1851","Lødingen",1043.931094,516.5166935,9,"Vestfjorden - Vesterålen",9506285
2018,"NORDLAND","1852","Tjeldsund",444.826713,125.4910974,9,"Vestfjorden - Vesterålen",1518277
2018,"NORDLAND","1854","Ballangen",1193.130637,260.9146791,9,"Vestfjorden - Vesterålen",7105411
2018,"NORDLAND","1859","Flakstad",1172.39812,994.0116752,9,"Vestfjorden - Vesterålen",1639138
2018,"NORDLAND","1860","Vestvågøy",2109.641746,1685.080756,9,"Vestfjorden - Vesterålen",3917735
2018,"NORDLAND","1865","Vågan",2087.475486,1608.301755,9,"Vestfjorden - Vesterålen",969566
2018,"NORDLAND","1866","Hadsel",1184.413105,617.8636024,9,"Vestfjorden - Vesterålen",9367213
2018,"NORDLAND","1867","Bø",1825.744963,1579.045433,9,"Vestfjorden - Vesterålen",7262180
2018,"NORDLAND","1868","Øksnes",1815.174302,1495.658041,9,"Vestfjorden - Vesterålen",13146192
2018,"NORDLAND","1870","c(\Sortland\, \Suortá\)",1093.027537,371.1023103,9,"Vestfjorden - Vesterålen",11693804
2018,"TROMS","1902","Tromsø",5287.925885,2766.720443,11,"Kvaløya - Loppa",17443767
2018,"TROMS","1903","c(\Harstad\, \Hárstták\)",1520.380415,1075.169085,10,"Andfjorden - Senja",22498817
2018,"TROMS","1911","Kvæfjord",701.6211827,189.007727,10,"Andfjorden - Senja",8161545
2018,"TROMS","1913","Skånland",580.7459162,85.75053965,10,"Andfjorden - Senja",4181092
2018,"TROMS","1917","Ibestad",592.7193788,351.6502163,10,"Andfjorden - Senja",23423533
2018,"TROMS","1919","Gratangen",374.6671877,61.92678047,10,"Andfjorden - Senja",1692640
2018,"TROMS","1920","c(\Lavangen\, \Loabák\)",324.5644227,22.93030318,10,"Andfjorden - Senja",820387
2018,"TROMS","1923","Salangen",521.5611242,63.59936295,10,"Andfjorden - Senja",4364449
2018,"TROMS","1926","Dyrøy",469.7496123,181.2083648,10,"Andfjorden - Senja",15798284
2018,"TROMS","1927","Tranøy",938.4325924,414.5371515,10,"Andfjorden - Senja",23152572
2018,"TROMS","1928","Torsken",1076.107235,832.6831727,10,"Andfjorden - Senja",3911813
